N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
256,        CTaskComplexSeekEntity<CEntitySeekPosCalculatorXYOffset>,CTaskComplexSeekEntity<CEntitySeekPosCalculatorXYOffset>,CTaskComplex,0x86FBB4,0x58,0x38B,0x2C,
257,        CTaskComplexGoToPointAndStandStill,CTaskComplexGoToPointAndStandStill,CTaskComplex,0x86FDA8,0x28,0x387,0x2C,_ZN34CTaskComplexGoToPointAndStandStillC2EiRK7CVectorffbb
258,            CTaskComplexGoToPointAndStandStillTimed,CTaskComplexGoToPointAndStandStillTimed,CTaskComplexGoToPointAndStandStill,0x86FDD4,0x38,0x387,0x2C,_ZN39CTaskComplexGoToPointAndStandStillTimedC2EiRK7CVectorffi
259,        CTaskComplexGoToPointAiming,CTaskComplexGoToPointAiming,CTaskComplex,0x86FE00,0x38,0x39C,0x2C,_ZN27CTaskComplexGoToPointAimingC2EiRK7CVectorP7CEntityS0_ff
260,            CTaskComplexGoToPointShooting,CTaskComplexGoToPointShooting,CTaskComplexGoToPointAiming,0x86FE2C,0x38,0x385,0x2C,_ZN29CTaskComplexGoToPointShootingC2EiRK7CVectorP7CEntityS0_ff
261,        CTaskComplexGoToPointAndStandStillAndAchieveHeading,CTaskComplexGoToPointAndStandStillAndAchieveHeading,CTaskComplex,0x86FE58,0x30,0x388,0x2C,_ZN51CTaskComplexGoToPointAndStandStillAndAchieveHeadingC2EiRK7CVectorffff
262,        CTaskComplexAvoidOtherPedWhileWandering,CTaskComplexAvoidOtherPedWhileWandering,CTaskComplex,0x86FEC4,0x60,0x395,0x2C,_ZN39CTaskComplexAvoidOtherPedWhileWanderingC2EP4CPedRK7CVectori
263,        CTaskComplexAvoidEntity,CTaskComplexAvoidEntity,CTaskComplex,0x86FF00,0x54,0x3AB,0x2C,_ZN23CTaskComplexAvoidEntityC2EiP7CEntityRK7CVector
264,        CTaskComplexGoToAttractor,CTaskComplexGoToAttractor,CTaskComplex,0x86FF3C,0x2C,0x393,0x2C,_ZN25CTaskComplexGoToAttractorC2EP13CPedAttractorRK7CVectorffii
265,        CTaskComplexGoToPointAnyMeans,CTaskComplexGoToPointAnyMeans,CTaskComplex,0x86FF68,0x34,0x396,0x2C,
266,        CTaskComplexTurnToFaceEntityOrCoord,CTaskComplexTurnToFaceEntityOrCoord,CTaskComplex,0x86FF94,0x28,0x398,0x2C,
267,        CTaskComplexGotoDoorAndOpen,CTaskComplexGotoDoorAndOpen,CTaskComplex,0x86FFC0,0x38,0x3A4,0x2C,
268,        CTaskComplexInvestigateDisturbance,CTaskComplexInvestigateDisturbance,CTaskComplex,0x870010,0x1C,0x3A7,0x2C,_ZN34CTaskComplexInvestigateDisturbanceC2ERK7CVectorP7CEntity
269,        CTaskComplexSeekEntity<CEntitySeekPosCalculatorFixedPos>,CTaskComplexSeekEntity<CEntitySeekPosCalculatorFixedPos>,CTaskComplex,0x87004C,0x58,0x38B,0x2C,
270,        CTaskComplexFollowPointRoute,CTaskComplexFollowPointRoute,CTaskComplex,0x870078,0x3C,0x389,0x2C,_ZN28CTaskComplexFollowPointRouteC2EiRK11CPointRouteiffbbb
271,        CTaskComplexFollowNodeRoute,CTaskComplexFollowNodeRoute,CTaskComplex,0x8700A8,0x60,0x38A,0x2C,_ZN27CTaskComplexFollowNodeRouteC2EiRK7CVectorfffbib
272,        CTaskComplexFollowPatrolRoute,CTaskComplexFollowPatrolRoute,CTaskComplex,0x870114,0x30,0x3A3,0x2C,_ZN29CTaskComplexFollowPatrolRouteC2EiRK12CPatrolRouteiff
273,        CTaskInteriorBeInHouse,CTaskInteriorBeInHouse,CTaskComplex,0x8701E8,0x18,0x57A,0x2C,_ZN22CTaskInteriorBeInHouseC2EP15InteriorGroup_c
274,        CTaskInteriorBeInOffice,CTaskInteriorBeInOffice,CTaskComplex,0x870218,0x18,0x57B,0x2C,_ZN23CTaskInteriorBeInOfficeC2EP15InteriorGroup_c
275,        CTaskInteriorShopKeeper,CTaskInteriorShopKeeper,CTaskComplex,0x870290,0x20,0x57D,0x2C,_ZN23CTaskInteriorShopKeeperC2EP15InteriorGroup_ch
276,        CTaskInteriorGoToInfo,CTaskInteriorGoToInfo,CTaskComplex,0x8702BC,0x18,0x579,0x2C,_ZN21CTaskInteriorGoToInfoC2EP14InteriorInfo_tP10Interior_ch
277,        CTaskInteriorUseInfo,CTaskInteriorUseInfo,CTaskComplex,0x8702E8,0x1C,0x578,0x2C,_ZN20CTaskInteriorUseInfoC2EP14InteriorInfo_tP10Interior_cih
278,        CTaskComplexGetUpAndStandStill,CTaskComplexGetUpAndStandStill,CTaskComplex,0x870404,0x0C,0x0CE,0x2C,_ZN30CTaskComplexGetUpAndStandStillC2Ev
279,        CTaskComplexFallAndGetUp,CTaskComplexFallAndGetUp,CTaskComplex,0x870454,0x18,0x0D0,0x2C,
